,Sample Date,Address,1st Draw,2/3 Min,5 Min
79,2016-02-20 00:00:00,9600 S DAMEN AVE*,23.3,8.65,8.48
80,2016-02-20 00:00:00,11300 S CHURCH ST,8.96,1.44,1.14
81,2016-02-20 00:00:00,1200 E 52ND ST,1.0,1.0,1.0
82,2016-02-20 00:00:00,1300 N LOREL AVE,1.73,1.0,1.0
83,2016-02-20 00:00:00,9600 S DAMEN AVE,23.3,8.65,8.48
84,2016-02-20 00:00:00,3100 N OAKLEY AVE,1.0,2.8,1.36
85,2016-02-20 00:00:00,9100 S UNION AVE,10.7,3.04,1.0
86,2016-02-22 00:00:00,3600 W 115TH ST*,272.0,1.21,1.03
87,2016-02-22 00:00:00,00 E 89TH PL,1.0,1.0,1.0
88,2016-02-22 00:00:00,6800 S ST LAWRENCE AVE,1.0,6.32,1.0
89,2016-02-22 00:00:00,3600 W 115TH ST,272.0,1.21,1.03
90,2016-02-23 00:00:00,7800 S SOUTH SHORE DR,6.31,11.0,3.39
91,2016-02-23 00:00:00,7200 N MEADE AVE,11.7,19.2,2.93
92,2016-02-23 00:00:00,8600 S ABERDEEN ST,1.76,1.02,1.0
93,2016-02-23 00:00:00,13200 S COMMERCIAL AVE,4.19,1.82,1.62
94,2016-02-23 00:00:00,10400 S VERNON AVE,25.6,3.71,2.46
95,2016-02-23 00:00:00,5500 S DORCHESTER AVE,1.0,1.0,1.0
96,2016-02-24 00:00:00,6900 S CLAREMONT AVE,1.5,1.0,1.0
97,2016-02-24 00:00:00,4700 S WABASH AVE,1.72,1.37,1.4
98,2016-02-24 00:00:00,4000 N HARDING AVE,1.14,1.0,1.0
99,2016-02-24 00:00:00,8000 S CONSTANCE AVE,2.32,1.0,1.0
100,2016-02-24 00:00:00,9200 S DAUPHIN AVE,28.6,1.0,1.0
101,2016-02-24 00:00:00,9200 S DAUPHIN AVE*,28.6,1.0,1.0
102,2016-02-24 00:00:00,1900 W SCHOOL ST,3.2,1.0,1.0
103,2016-02-25 00:00:00,4300 N RIDGEWAY AVE,4.38,1.7,1.55
104,2016-02-25 00:00:00,8000 S HERMITAGE AVE,14.6,8.68,3.23
105,2016-02-25 00:00:00,2100 W 18TH PL,1.8,2.3,1.0
106,2016-02-25 00:00:00,6200 S KEDZIE AVE,233.0,3.59,2.74
107,2016-02-25 00:00:00,12400 S YALE AVE,3.67,8.22,1.48
108,2016-02-25 00:00:00,3300 W 62ND ST,2.57,1.0,1.0
109,2016-02-25 00:00:00,6200 S KEDZIE AVE*,233.0,3.59,2.74
110,2016-02-25 00:00:00,4200 N OAKLEY AVE,1.0,1.0,1.0
111,2016-02-25 00:00:00,1200 N STATE PKWY,2.36,1.0,1.0
112,2016-02-25 00:00:00,10500 S INDIANA AVE,1.96,1.0,1.0
113,2016-02-25 00:00:00,500 W DEMING PL,1.0,1.0,1.0
114,2016-02-26 00:00:00,8000 S LANGLEY AVE,3.17,1.0,1.0
115,2016-02-26 00:00:00,5000 N LEAVITT ST,1.0,1.0,1.0
116,2016-02-26 00:00:00,3100 W PALMER ST,1.0,1.0,1.0
117,2016-02-27 00:00:00,7200 W CLARENCE AVE,6.07,1.11,1.0
118,2016-02-27 00:00:00,1400 N DEARBORN ST,1.6,1.0,1.0
119,2016-02-27 00:00:00,2900 S LOOMIS ST,8.5,1.75,1.31
120,2016-02-27 00:00:00,5700 N ST LOUIS AVE,2.17,1.06,1.0
121,2016-02-27 00:00:00,10400 S CAMPBELL AVE,1.0,2.42,1.0
122,2016-02-27 00:00:00,6200 N MANDELL AVE,6.61,3.91,3.57
123,2016-02-29 00:00:00,5200 W PENNSACOLA AVE,1.94,1.08,1.0
124,2016-02-29 00:00:00,6100 W EDDY ST,1.0,1.0,1.0
125,2016-02-29 00:00:00,10600 S EMERALD AVE,1.76,1.0,1.0
126,2016-03-01 00:00:00,5800 N KINGSDALE AVE,2.22,1.0,1.0
127,2016-03-01 00:00:00,1300 E HYDE PARK BLVD,1.0,1.0,1.0
128,2016-03-01 00:00:00,5100 W PATTERSON AVE,3.13,2.66,1.15
129,2016-03-01 00:00:00,1500 S BLUE ISLAND AVE,1.0,1.0,1.0
