Name,Street Dir,Street Num
Crosby St,W,600
Crowell St,W,1200
Crystal St,N,1232
Cullerton St,S,2000
Cullom Ave,N,4300
Cumberland Ave,W,8400
Cuyler Ave,N,4032
Cyril Ave,E,1964
Dakin St,N,3932
Damen Ave,W,2000
Daniel Dr,E,300
Dante Ave,E,1432
Dauphin Ave,E,888
Davlin Court,W,3946
Davol St,W,1620
Dawson Ave,W,3432
Dayton St,W,832
De Sable St,S,3756
Dean St,W,1700
Dearborn St,W,36
Dearborn Pkwy,W,36
Dekoven St,S,1100
Delano Court,W,150
Delaware Pl,N,900
Delphia Ave,W,8600
Deming Pl,N,2534
Denvir Ave,W,2526
Desplaines St,W,630
Desplaines Rd,W,9400
Devon Ave,N,6400
Dewitt Pl,E,238
Dickens Dr,N,2100
Dickens Ave,N,2100
Dickens Blvd,N,2100
Diversey Dr,N,2800
Diversey Pkwy,N,2800
Diversey Ave,N,2800
Diversey School Court,N,2756
Division St,N,1200
Dobson Ave,E,1032
Dominick St,W,1430
Dorchester Ave,E,1400
Doty Ave West,E,1200
Doty Ave East,E,1750
Douglas Blvd,S,1400
Douglas Dr,S,1400
Dover St,W,1400
Dowagiac Ave,W,5400
Drake Ave,W,3532
Draper St,N,2540
Drew St,W,1700
Drexel Blvd,E,900
Drexel Ave,E,900
Drexel Square Dr,S,5130
Drummond Pl,N,2632
Dunbar Ave,E,246
Early Ave,N,5700
East Circle Ave,W,7034
East End Ave,E,1700
East River Rd,W,8800
East View Park,E,1728
Eastgate Pl,S,2520
Eastlake Terrace,W,1320
Eastman St,N,1440
Eastwood Ave,N,4632
Eberhart Ave,E,500
Edbrooke Ave,E,134
Eddy St,N,3532
Edens Pkwy,W,4812
Edgebrook Terrace,W,5924
Edgewater Ave,N,5732
Edmaire St,S,11300
Edmunds St,N,5000
Edward Court,W,749
Eggleston Ave,W,432
Elaine Pl,W,700
Elbridge Ave,W,3600
Eleanor St,W,1200
Elias Court,W,1200
Elizabeth St,W,1232
Elk Grove Ave,N,1400
Ellen St,N,1282
Elliott Ave,E,1836
Ellis Ave,E,600
Ellsworth Dr,E,400
Elm St,N,1142
Elmdale Ave,N,6000
Elsdon Ave,W,3610
Elston Ave,W,1132
Emerald Ave,W,732
Emerald Dr,W,724
Emmett St,W,3200
Englewood Ave,S,6232
Erie St,N,658
Ernst Court,E,100
Escanaba Ave,E,2900
Essex Ave,E,2500
Estes Ave,N,7100
Euclid Ave,E,1932
Euclid Pkwy,E,1908
Eugenie St,N,1700
Evans Court,N,740
Evans Ave,E,732
Everell Ave,N,6128
Everett Ave,E,1738
Everett Dr,E,1738
Evergreen Ave,N,1332
Ewing Ave,E,3338
Exchange Ave,S,4160
Fair Pl,N,1324
Fairbanks Court,E,300
Fairfield Ave,W,2732
Fairhope Ave,N,6840
Fairview Ave,W,8300
Fargo Ave,N,7432
Farragut Ave,N,5232
Farrar Dr,W,3000
Farrell St,W,1200
Farwell Ave,N,6900
Federal St,W,60
Felton Court,W,362
Ferdinand St,N,460
Fern Court,W,418
Field Blvd,E,400
Fielding Ave,W,581
Fillmore St,S,1100
Financial Pl,W,156
Finsbury Court,S,2550
Fitch Ave,N,7132
Fletcher St,N,3132
Flournoy St,S,700
Ford Ave,W,658
Ford City Dr,S,7700
Foreman Dr,S,9500
Forest Ave,E,300
Forest Glen Ave,W,5032
Forestview Ave,W,8750
Forest Preserve Dr,N,3375
Forrestville Ave,E,532
Foster Dr,N,5200
Foster Ave,N,5200
Foster Pl,N,5200
Francis Pl,N,2156
Francisco Ave,W,2900
Franklin Blvd,N,500
Frontier Ave,W,648
Fry St,N,840
Fuller St,S,2900
Fullerton Dr,N,2400
Fullerton Pkwy,N,2400
Fullerton Ave,N,2400
Fulton St,N,300
Fulton Blvd,N,300
Fulton Dr,N,300
Fulton Market,N,300
Gale St,N,4926
Galewood Ave,N,1900
Garfield Dr,S,5500
Garfield Blvd,S,5500
Garfield Square Dr,N,512
Garland Court,E,70
Garvey Court,W,69
Geneva Terrace,W,600
Genoa Ave,W,814
George St,N,2900
Germania Pl,N,1536
Gettysburg St,N,5200
Giddings St,N,4732
Gilbert Court,W,700
Giles Ave,E,300
Givins Court,W,720
Gladys Ave,S,332
Glenlake Ave,N,6100
Glenroy Ave,W,1428
Glenwood Ave,W,1400
Goethe St,N,1300
Gole Dr,W,5728
Gole Dr,S,244
Goodman St,N,5000
Gordon Terrace,N,4182
Governors Pkwy,N,400
Grace St,N,3800
Grady Court,W,1400
Grand Ave,N,530
Grant Pl,N,2232
Granville Ave,N,6200
Gratten Ave,W,1054
Green St,W,832
Green Bay Ave,E,3400
Greenleaf Ave,N,7034
Greenview Ave,W,1500
Greenwood Ave,E,1100
Gregory St,N,5530
Grenshaw St,S,1132
Gresham Ave,W,3534
Grove St,W,222
Groveland Park,S,3344
Grover St,N,4900
Gullikson Rd,W,7000
Gunnison St,N,4832
Haddock Pl,N,220
Haddon Ave,N,1132
Haft St,N,6300
Haines St,N,1100
Hale Ave,W,1900
Halsted Pkwy,W,754
Halsted St,W,800
Hamilton Ave,W,2100
Hamlet Ave,W,1448
Hamlin Blvd,W,3800
Hamlin Ave,W,3800
Hampden Court,W,442
Hanson Ave,N,1932
Harbor Dr,E,400
Harbor Ave,E,3428
Harding Ave,W,3932
Harlem Ave,W,7200
Harper Ave,E,1501
Harrington Lane,N,5944
Harrison St,S,600
Hart St,W,1926
Hartland Court,W,1744
Hartwell Ave,E,132
Harvard Ave,W,326
Haskins Ave,W,1734
Hastings St,S,1332
Haussen Court,W,3900
Hawthorne Pl,N,3442
Hayes Dr,S,6300
Hayes Ave,N,6532
Hayford St,S,7544
Haynes Court,W,1316
Haze St,W,842
Heath Ave,W,2322
Henderson St,N,3334
Henke Pl,W,12506
Henry Court,N,2100
Hermione St,N,6300
Hermitage Ave,W,1732
Hermosa Ave,W,1600
Hiawatha Ave,W,4522
Hickory Ave,W,860
Higgins Ave,N,4834
High Bridge Lane,N,5900
Highland Ave,N,6330
Hill St,N,1100
Hillock Ave,W,1100
Hinsdale Rd,W,12400
Hirsch St,N,1400
Hobart Ave,N,5750
Hobbie St,N,1100
Hobson Ave,W,1700
Hoey St,W,964
Holbrook St,N,6100
Holden Court,E,25
Holland Rd,W,321
Hollett Dr,W,6800
Holly Ave,W,1630
Hollywood Ave,N,5700
Homan Blvd,W,3400
Homan Ave,W,3400
Homer St,N,1948
Homewood Ave,W,1800
Honore St,W,1828
Hood Ave,N,6132
Hooker St,W,800
Hopkins Pl,S,8900
Hortense Ave,N,6334
Houston Ave,E,3024
Howard St,N,7600
Howe St,W,634
Howland Ave,S,8800
Hoxie Ave,E,2600
Hoyne Ave,W,2100
Hoyt Ave,W,2253
Hubbard St,N,430
Hudson Ave,W,435
Humboldt Dr,W,3000
Hunt Ave,S,8818
Huntington St,N,6200
Hurlbut St,N,5800
Huron St,N,700
Hutchinson St,N,4232
Hyacinth St,N,6134
Hyde Park Blvd,S,5100
Hyde Park Blvd,E,1700
Hyde Park Dr,E,1700
Ibsen St,N,6900
Illinois St,N,500
Imlay St,N,6500
Independence Blvd,W,3800
Independence Square,W,1348
Indian Rd,W,5200
Indiana Ave,E,200
Indiana Pkwy,E,116
Indianapolis Ave,E,3600
Ingleside Ave,E,930
Institute Pl,N,828
Ionia Ave,W,4400
Iowa St,N,900
Irene Ave,W,3120
Iron St,W,1426
Irving Ave,W,2221
Irving Park Dr,N,4000
Irving Park Rd,N,4000
Isham Ave,N,6458
Jackson Blvd,S,300
Jackson Dr,S,300
James St,S,5150
James M Rochford St,S,1244
Janssen Ave,W,1434
Jarlath St,N,7232
Jarvis Ave,N,7400
