,zip,1st Draw,2/3 Min,5 Min,median_INC_2017-2021,per_capita_INC_2017-2021,major_crime_2018-2022,violent_crime_2018-2022,public_crime_2012-2016,behavioral_ health_hospitalizations_2017,cognitive_difficulty_percent_2017-2021,poverty_rate_percent_2017-2021,high_school_grad_rate_2017-2021,college_grad_rate_2017-2021,non_hispanic_white_percent_2017-2021
0,60601,1.0045454545454544,0.9318181818181818,0.8848484848484848,123115.0,137556.0,1736.752366,148.8895098,57.18915921,91.0,1.99580542588458,5.83409298085688,97.9177247333672,88.0311494836635,54.8770602539854
1,60602,1.7176595744680851,1.6542553191489362,1.021063829787234,235666.0,168423.0,282.0338954,25.28974586,5.77462554,25.0,0.0,2.22222222222222,100.0,82.2177822177822,47.0227670753065
2,60605,0.977037037037037,0.8785185185185185,0.8785185185185185,112162.0,85947.0,1675.218975,246.7994829,126.4436965,285.0,2.91466250437996,8.61242380658859,95.3163710723977,78.0880097526446,57.0377529070674
3,60606,0.9184466019417475,1.7398058252427184,1.941747572815534,130196.0,133605.0,529.774357,58.45384664,20.75152179,66.0,0.363856882959369,8.55063674954518,99.2661774516344,91.7945296864576,59.6422073984233
4,60607,1.993191489361702,1.6927659574468086,1.3429787234042554,109634.0,65052.0,2208.93379,266.9249435,266.3800388,651.0,4.15521747872127,16.888970995751,96.6200119118523,78.9209847131229,51.7972657552518
5,60608,5.7542,2.9918666666666667,2.3013333333333335,61490.0,26958.0,2208.318895,582.9193879,978.6627675,1137.0,3.62551256546628,16.7879748980062,74.2657556598001,30.4456455231491,20.2451935140819
6,60609,7.06745054945055,6.198087912087912,3.3292967032967034,43048.0,23009.0,2179.855381,760.6094499,1642.447833,1116.0,4.10445946603122,26.9247018296448,72.7650419170562,17.3776491826792,14.7750602156448
7,60610,1.8525401069518717,2.144705882352941,1.8205882352941176,99246.0,93795.0,1537.345214,220.7066253,182.9781522,498.0,3.14999881311273,11.9931806389445,97.158824906367,78.2361891385768,69.7067559285277
8,60611,1.0,1.0,1.0,117344.0,125624.0,2285.077683,263.5852379,86.93327407,248.0,1.0734332503906,8.91298674939836,99.2826690126548,87.9644041415714,67.2819859961808
9,60612,3.3292718446601945,6.38621359223301,2.735873786407767,52126.0,37182.0,2377.324853,729.6161619,1503.783816,1366.0,5.52237462108707,29.0572297484103,88.0195599022005,39.5083828152288,22.7173528370886
10,60613,2.7878451882845185,1.8630962343096233,1.2709205020920502,88267.0,69253.0,1274.959039,194.2135573,191.3452338,640.0,2.73920917597344,9.53154514544768,96.2199228254725,75.7219750780348,70.7818775571488
11,60614,4.601207243460765,3.971247484909457,3.0742857142857143,123610.0,97909.0,2384.286946,237.1789957,250.0789058,571.0,1.69683257918552,8.39648025598138,97.8393915100796,85.894452808791,79.8707691454402
12,60615,4.025316045380875,3.4510858995137768,2.306855753646677,51179.0,43402.0,1730.093521,429.6907775,858.868254,680.0,4.65779695553158,25.7528807979084,92.943744752309,62.095717884131,28.2639404314411
13,60616,3.2920972644376896,3.1702127659574466,1.858662613981763,65489.0,43230.0,1935.32329,424.5969694,515.7342407,641.0,4.39404948563999,17.7750548429811,84.1330027708911,49.9027757522726,29.352924554959
14,60618,5.553070362473347,5.019395877754087,2.5249324804548685,91650.0,51582.0,2050.676663,356.6209865,599.281221,928.0,2.8328432767397,8.1283490148095,88.0280548720291,53.0021954705527,48.2877216601106
15,60619,5.736188490408674,6.288974145120934,3.277648040033361,43329.0,27002.0,3851.031664,1257.206878,2777.408498,1421.0,5.55494219516427,23.6586983294913,89.4814913212894,27.1010449876018,0.956191616389156
16,60620,13.664140694568122,5.624292074799643,3.061852181656278,40117.0,22465.0,4050.777903,1257.469477,2870.865227,1580.0,6.51427578114815,23.2633232487782,87.1452169995495,17.7761568661103,1.11596522340932
17,60621,5.662361623616236,4.474169741697417,2.7114391143911436,24912.0,15738.0,2319.940339,961.4515906,2204.373299,1307.0,7.81399624621749,39.933942699132,81.3292773919532,12.5695919187281,1.49973622729671
18,60622,3.027713546160483,2.9467299396031064,1.8942881794650561,110694.0,72130.0,2244.064291,396.1821328,706.3551131,983.0,2.32528168495471,9.55157778187858,94.7372065646423,71.8832952473282,64.1610247026533
19,60623,10.97524115755627,4.494212218649518,3.0382636655948554,35890.0,18124.0,3273.110756,1325.607588,2394.643102,1870.0,4.72279792746114,27.2674222579558,67.9173641448577,12.7587473972155,3.88095976833178
20,60624,4.888324873096447,8.262944162436549,3.352284263959391,29102.0,17145.0,3065.118531,1376.36788,2715.461936,1510.0,8.9001941960012,36.4661035541904,76.6232089841229,11.1397960500839,3.41210187638566
21,60625,4.321008403361344,4.714089635854342,2.5993977591036415,76088.0,40958.0,1523.04841,317.7598833,424.924314,842.0,3.35144698597245,12.0894272276271,85.3408373658742,52.0828950136756,46.4374968760934
22,60626,3.1992918825561314,4.054386873920553,1.8215889464594128,51562.0,33450.0,1500.788632,294.4254678,443.9672351,1525.0,4.94734465132511,20.0590911023254,89.0535263036986,50.109120147025,45.7878516751168
23,60628,12.802544910179641,6.867619760479042,3.9169910179640723,46665.0,23708.0,3449.929368,1146.086363,2932.147083,1561.0,6.23666630331532,21.9662323017166,86.4963340486409,21.8772353361946,2.26705329591093
24,60629,6.955145797598628,4.8739622641509435,2.5010291595197254,46217.0,20803.0,2901.001024,849.5189973,1761.178058,1242.0,4.06368644383235,18.4305564628263,74.5081756828167,12.145003246116,7.11713974713221
